site,plot,date_observed,genus,species,id,observer,date_entered,data_entry,dist_from_collar,comments
East Woods,HH115,8/14/2017,Quercus,alba,1436,Duckett,8/14/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,HH115,8/30/2017,Quercus,alba,1436,Duckett,8/30/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,HH115,9/11/2017,Quercus,alba,1436,Duckett,9/11/2017,Duckett,0,
East Woods,HH115,5/8/2018,Quercus,alba,1436,Godlewski,6/22/2018,Godlewski,1.3,
East Woods,HH115,5/23/2018,Quercus,alba,1436,Godlewski,6/22/2018,Godlewski,2.3,
East Woods,HH115,6/7/2018,Quercus,alba,1436,Godlewski,6/22/2018,Godlewski,2.9,
East Woods,HH115,6/22/2018,Quercus,alba,1436,Godlewski,7/19/2018,Zumwalde,5.1,
East Woods,HH115,7/2/2018,Quercus,alba,1436,Koropp/ Butkiewicz,7/2/2018,Koropp,4.6,
East Woods,HH115,7/19/2018,Quercus,alba,1436,Zumwalde,7/20/2018,Zumwalde,6.3,
East Woods,HH115,7/27/2018,Quercus,alba,1436,Butkiewicz,7/27/2018,Zumwalde,6.5,
East Woods,HH115,8/10/2018,Quercus,alba,1436,Zumwalde,8/10/2018,Zumwalde,6.7,
East Woods,HH115,8/31/2018,Quercus,alba,1436,Zumwalde,8/31/2018,Zumwalde,7.9,
East Woods,HH115,9/26/2018,Quercus,alba,1436,Ye,9/28/2018,Zumwalde,7.6,
East Woods,HH115,10/17/2018,Quercus,alba,1436,Zumwalde,10/23/2018,Zumwalde,8.6,
East Woods,HH115,10/31/2018,Quercus,alba,1436,Zumwalde,11/28/2018,Zumwalde,9.6,
East Woods,HH115,3/27/2019,Quercus,alba,1436,Zumwalde,3/27/2019,Zumwalde,9.2,
East Woods,HH115,5/3/2019,Quercus,alba,1436,Zumwalde,5/3/2019,Zumwalde,10.6,
East Woods,HH115,5/23/2019,Quercus,alba,1436,Zumwalde,5/23/2019,Zumwalde,11.45,
East Woods,HH115,7/17/2017,Quercus,alba,1437,Duckett,7/17/2017,Duckett,0,
East Woods,HH115,7/31/2017,Quercus,alba,1437,Duckett,7/31/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,HH115,8/14/2017,Quercus,alba,1437,Duckett,8/14/2017,Duckett,0,
East Woods,HH115,8/30/2017,Quercus,alba,1437,Duckett,8/30/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,HH115,9/11/2017,Quercus,alba,1437,Duckett,9/11/2017,Duckett,0,
East Woods,HH115,5/8/2018,Quercus,alba,1437,Godlewski,6/22/2018,Godlewski,0,
East Woods,HH115,5/23/2018,Quercus,alba,1437,Godlewski,6/22/2018,Godlewski,0,
East Woods,HH115,6/7/2018,Quercus,alba,1437,Godlewski,6/22/2018,Godlewski,0,
East Woods,HH115,6/22/2018,Quercus,alba,1437,Godlewski,7/19/2018,Zumwalde,0,
East Woods,HH115,7/2/2018,Quercus,alba,1437,Koropp/ Butkiewicz,7/2/2018,Koropp,0,
East Woods,HH115,7/19/2018,Quercus,alba,1437,Zumwalde,7/20/2018,Zumwalde,0,
East Woods,HH115,7/27/2018,Quercus,alba,1437,Butkiewicz,7/27/2018,Zumwalde,0,
East Woods,HH115,8/10/2018,Quercus,alba,1437,Zumwalde,8/10/2018,Zumwalde,0,
East Woods,HH115,8/31/2018,Quercus,alba,1437,Zumwalde,8/31/2018,Zumwalde,0,
East Woods,HH115,9/26/2018,Quercus,alba,1437,Ye,9/28/2018,Zumwalde,0,
East Woods,HH115,10/17/2018,Quercus,alba,1437,Zumwalde,10/23/2018,Zumwalde,999,
East Woods,HH115,10/31/2018,Quercus,alba,1437,Zumwalde,11/28/2018,Zumwalde,999,
East Woods,HH115,7/17/2017,Quercus,alba,1440,Duckett,7/17/2017,Duckett,0.45,
East Woods,HH115,7/31/2017,Quercus,alba,1440,Duckett,7/31/2017,Duckett,1,
East Woods,HH115,8/14/2017,Quercus,alba,1440,Duckett,8/14/2017,Duckett,0,
East Woods,HH115,8/30/2017,Quercus,alba,1440,Duckett,8/30/2017,Duckett,0,
East Woods,HH115,9/11/2017,Quercus,alba,1440,Duckett,9/11/2017,Duckett,0,
East Woods,HH115,5/8/2018,Quercus,alba,1440,Godlewski,6/22/2018,Godlewski,0,
East Woods,HH115,5/23/2018,Quercus,alba,1440,Godlewski,6/22/2018,Godlewski,1.8,
East Woods,HH115,6/7/2018,Quercus,alba,1440,Godlewski,6/22/2018,Godlewski,2.4,
East Woods,HH115,6/22/2018,Quercus,alba,1440,Godlewski,7/19/2018,Zumwalde,4.3,
East Woods,HH115,7/2/2018,Quercus,alba,1440,Koropp/ Butkiewicz,7/2/2018,Koropp,3.7,
East Woods,HH115,7/19/2018,Quercus,alba,1440,Zumwalde,7/20/2018,Zumwalde,4.9,
East Woods,HH115,7/27/2018,Quercus,alba,1440,Butkiewicz,7/27/2018,Zumwalde,5,
East Woods,HH115,8/10/2018,Quercus,alba,1440,Zumwalde,8/10/2018,Zumwalde,6.5,
East Woods,HH115,8/31/2018,Quercus,alba,1440,Zumwalde,8/31/2018,Zumwalde,999,
East Woods,HH115,9/26/2018,Quercus,alba,1440,Ye,9/28/2018,Zumwalde,6.3,
East Woods,HH115,10/17/2018,Quercus,alba,1440,Zumwalde,10/23/2018,Zumwalde,7.4,
East Woods,HH115,10/31/2018,Quercus,alba,1440,Zumwalde,11/28/2018,Zumwalde,7.5,
East Woods,HH115,3/27/2019,Quercus,alba,1440,Zumwalde,3/27/2019,Zumwalde,7.5,
East Woods,HH115,5/3/2019,Quercus,alba,1440,Zumwalde,5/3/2019,Zumwalde,9.1,
East Woods,HH115,5/23/2019,Quercus,alba,1440,Zumwalde,5/23/2019,Zumwalde,9.85,
East Woods,B127,7/17/2017,Quercus,alba,1482,Duckett,7/17/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,B127,7/31/2017,Quercus,alba,1482,Duckett,7/31/2017,Duckett,0,
East Woods,B127,8/14/2017,Quercus,alba,1482,Duckett,8/14/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,B127,8/30/2017,Quercus,alba,1482,Duckett,8/30/2017,Duckett,0,
East Woods,B127,9/11/2017,Quercus,alba,1482,Duckett,9/11/2017,Duckett,0,
East Woods,B127,5/3/2018,Quercus,alba,1482,Godlewski,6/22/2018,Godlewski,0,
East Woods,B127,5/15/2018,Quercus,alba,1482,Godlewski,6/22/2018,Godlewski,1.1,
East Woods,B127,5/31/2018,Quercus,alba,1482,Godlewski,6/22/2018,Godlewski,1.8,
East Woods,B127,6/14/2018,Quercus,alba,1482,Godlewski,6/22/2018,Godlewski,2.6,
East Woods,B127,6/27/2018,Quercus,alba,1482,Koropp,6/29/2018,Koropp,5.8,
East Woods,B127,7/19/2018,Quercus,alba,1482,Zumwalde,7/20/2018,Zumwalde,6.2,
East Woods,B127,7/27/2018,Quercus,alba,1482,Koropp,7/27/2018,Zumwalde,5.8,
East Woods,B127,8/10/2018,Quercus,alba,1482,Zumwalde,8/10/2018,Zumwalde,7.2,
East Woods,B127,8/31/2018,Quercus,alba,1482,Zumwalde,8/31/2018,Zumwalde,7.9,
East Woods,B127,9/26/2018,Quercus,alba,1482,Ye,9/28/2018,Zumwalde,7.7,
East Woods,B127,10/17/2018,Quercus,alba,1482,Zumwalde,10/23/2018,Zumwalde,8.7,
East Woods,B127,10/31/2018,Quercus,alba,1482,Zumwalde,11/28/2018,Zumwalde,8.2,
East Woods,B127,3/27/2019,Quercus,alba,1482,Zumwalde,3/27/2019,Zumwalde,8.2,
East Woods,B127,5/3/2019,Quercus,alba,1482,Zumwalde,5/3/2019,Zumwalde,11,
East Woods,B127,5/23/2019,Quercus,alba,1482,Zumwalde,5/23/2019,Zumwalde,11.85,
East Woods,HH115,7/17/2017,Tilia,americana,1412,Duckett,7/17/2017,Duckett,0.4,
East Woods,HH115,7/31/2017,Tilia,americana,1412,Duckett,7/31/2017,Duckett,0.4,
East Woods,HH115,8/14/2017,Tilia,americana,1412,Duckett,8/14/2017,Duckett,0.45,
East Woods,HH115,8/30/2017,Tilia,americana,1412,Duckett,8/30/2017,Duckett,0.4,
East Woods,HH115,9/11/2017,Tilia,americana,1412,Duckett,9/11/2017,Duckett,0.4,
East Woods,HH115,5/8/2018,Tilia,americana,1412,Godlewski,6/22/2018,Godlewski,0,
East Woods,HH115,5/23/2018,Tilia,americana,1412,Godlewski,6/22/2018,Godlewski,0,
East Woods,HH115,6/7/2018,Tilia,americana,1412,Godlewski,6/22/2018,Godlewski,2.8,
East Woods,HH115,6/22/2018,Tilia,americana,1412,Godlewski,7/19/2018,Zumwalde,7.3,
East Woods,HH115,7/2/2018,Tilia,americana,1412,Koropp/ Butkiewicz,7/2/2018,Koropp,10.7,
East Woods,HH115,7/19/2018,Tilia,americana,1412,Zumwalde,7/20/2018,Zumwalde,17.3,
East Woods,HH115,7/27/2018,Tilia,americana,1412,Butkiewicz,7/27/2018,Zumwalde,19.3,
East Woods,HH115,8/10/2018,Tilia,americana,1412,Zumwalde,8/10/2018,Zumwalde,23.2,
East Woods,HH115,8/31/2018,Tilia,americana,1412,Zumwalde,8/31/2018,Zumwalde,27.1,
East Woods,HH115,9/26/2018,Tilia,americana,1412,Ye,9/28/2018,Zumwalde,27.4,
East Woods,HH115,10/17/2018,Tilia,americana,1412,Zumwalde,10/23/2018,Zumwalde,1.3,
East Woods,HH115,10/31/2018,Tilia,americana,1412,Zumwalde,11/28/2018,Zumwalde,0.9,
East Woods,HH115,3/27/2019,Tilia,americana,1412,Zumwalde,3/27/2019,Zumwalde,0,
East Woods,HH115,5/3/2019,Tilia,americana,1412,Zumwalde,5/3/2019,Zumwalde,0,
East Woods,HH115,5/23/2019,Tilia,americana,1412,Zumwalde,5/23/2019,Zumwalde,0.9,
East Woods,HH115,7/17/2017,Tilia,americana,1428,Duckett,7/17/2017,Duckett,0,
East Woods,HH115,7/31/2017,Tilia,americana,1428,Duckett,7/31/2017,Duckett,0,
East Woods,HH115,8/14/2017,Tilia,americana,1428,Duckett,8/14/2017,Duckett,0,
East Woods,HH115,8/30/2017,Tilia,americana,1428,Duckett,8/30/2017,Duckett,0,
East Woods,HH115,9/11/2017,Tilia,americana,1428,Duckett,9/11/2017,Duckett,0,
East Woods,HH115,5/8/2018,Tilia,americana,1428,Godlewski,6/22/2018,Godlewski,0,
East Woods,HH115,5/23/2018,Tilia,americana,1428,Godlewski,6/22/2018,Godlewski,0,
East Woods,HH115,6/7/2018,Tilia,americana,1428,Godlewski,6/22/2018,Godlewski,0,
East Woods,HH115,6/22/2018,Tilia,americana,1428,Godlewski,7/19/2018,Zumwalde,0,
East Woods,HH115,7/2/2018,Tilia,americana,1428,Koropp/ Butkiewicz,7/2/2018,Koropp,0,
East Woods,HH115,7/19/2018,Tilia,americana,1428,Zumwalde,7/20/2018,Zumwalde,0,
East Woods,HH115,7/27/2018,Tilia,americana,1428,Butkiewicz,7/27/2018,Zumwalde,0,
East Woods,HH115,8/10/2018,Tilia,americana,1428,Zumwalde,8/10/2018,Zumwalde,0,
East Woods,HH115,8/31/2018,Tilia,americana,1428,Zumwalde,8/31/2018,Zumwalde,0,
East Woods,HH115,9/26/2018,Tilia,americana,1428,Ye,9/28/2018,Zumwalde,0,
East Woods,HH115,10/17/2018,Tilia,americana,1428,Zumwalde,10/23/2018,Zumwalde,0,
East Woods,HH115,10/31/2018,Tilia,americana,1428,Zumwalde,11/28/2018,Zumwalde,0,
East Woods,HH115,3/27/2019,Tilia,americana,1428,Zumwalde,3/27/2019,Zumwalde,0,
East Woods,HH115,5/3/2019,Tilia,americana,1428,Zumwalde,5/3/2019,Zumwalde,0,
East Woods,HH115,5/23/2019,Tilia,americana,1428,Zumwalde,5/23/2019,Zumwalde,0,
East Woods,N115,7/17/2017,Tilia,americana,1452,Duckett,7/17/2017,Duckett,0,
East Woods,N115,7/24/2017,Tilia,americana,1452,Duckett,7/31/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,N115,8/10/2017,Tilia,americana,1452,Duckett,8/10/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,N115,8/25/2017,Tilia,americana,1452,Duckett,8/25/2017,Duckett,0,
East Woods,N115,9/6/2017,Tilia,americana,1452,Duckett,9/8/2017,Duckett,0,
East Woods,N115,9/19/2017,Tilia,americana,1452,Duckett,9/19/2017,Duckett,0,
East Woods,N115,5/3/2018,Tilia,americana,1452,Godlewski,6/22/2018,Godlewski,1.5,
East Woods,N115,5/15/2018,Tilia,americana,1452,Godlewski,6/22/2018,Godlewski,1.7,
East Woods,N115,5/31/2018,Tilia,americana,1452,Godlewski,6/22/2018,Godlewski,1.9,
East Woods,N115,6/14/2018,Tilia,americana,1452,Godlewski,6/22/2018,Godlewski,4.3,
East Woods,N115,7/2/2018,Tilia,americana,1452,Koropp/ Butkiewicz,7/2/2018,Koropp,8.2,
East Woods,N115,7/19/2018,Tilia,americana,1452,Zumwalde,7/20/2018,Zumwalde,11.2,
East Woods,N115,7/27/2018,Tilia,americana,1452,Butkiewicz,7/27/2018,Zumwalde,11.8,
East Woods,N115,8/10/2018,Tilia,americana,1452,Zumwalde,8/10/2018,Zumwalde,12.9,
East Woods,N115,8/31/2018,Tilia,americana,1452,Zumwalde,8/31/2018,Zumwalde,14.6,
East Woods,N115,9/26/2018,Tilia,americana,1452,Oros,9/28/2018,Zumwalde,13.4,
East Woods,N115,10/17/2018,Tilia,americana,1452,Zumwalde,10/23/2018,Zumwalde,14.9,
East Woods,N115,10/31/2018,Tilia,americana,1452,Zumwalde,11/28/2018,Zumwalde,15.1,
East Woods,N115,3/27/2019,Tilia,americana,1452,Zumwalde,3/27/2019,Zumwalde,13.1,
East Woods,N115,5/3/2019,Tilia,americana,1452,Zumwalde,5/3/2019,Zumwalde,14.05,
East Woods,N115,5/23/2019,Tilia,americana,1452,Zumwalde,5/23/2019,Zumwalde,13.95,
East Woods,N115,7/17/2017,Tilia,americana,1456,Duckett,7/17/2017,Duckett,0,
East Woods,N115,7/24/2017,Tilia,americana,1456,Duckett,7/31/2017,Duckett,0,
East Woods,N115,8/10/2017,Tilia,americana,1456,Duckett,8/10/2017,Duckett,0,
East Woods,N115,8/25/2017,Tilia,americana,1456,Duckett,8/25/2017,Duckett,0,
East Woods,N115,9/6/2017,Tilia,americana,1456,Duckett,9/8/2017,Duckett,0,
East Woods,N115,9/19/2017,Tilia,americana,1456,Duckett,9/19/2017,Duckett,0,
East Woods,N115,5/3/2018,Tilia,americana,1456,Godlewski,6/22/2018,Godlewski,0,
East Woods,N115,5/15/2018,Tilia,americana,1456,Godlewski,6/22/2018,Godlewski,0,
East Woods,N115,5/31/2018,Tilia,americana,1456,Godlewski,6/22/2018,Godlewski,0,
East Woods,N115,6/14/2018,Tilia,americana,1456,Godlewski,6/22/2018,Godlewski,1.6,
East Woods,N115,7/2/2018,Tilia,americana,1456,Koropp/ Butkiewicz,7/2/2018,Koropp,3.2,
East Woods,N115,7/19/2018,Tilia,americana,1456,Zumwalde,7/20/2018,Zumwalde,3.7,
East Woods,N115,7/27/2018,Tilia,americana,1456,Butkiewicz,7/27/2018,Zumwalde,4,
East Woods,N115,8/10/2018,Tilia,americana,1456,Zumwalde,8/10/2018,Zumwalde,5,
East Woods,N115,8/31/2018,Tilia,americana,1456,Zumwalde,8/31/2018,Zumwalde,4.6,
East Woods,N115,9/26/2018,Tilia,americana,1456,Oros,9/28/2018,Zumwalde,4.3,
East Woods,N115,10/17/2018,Tilia,americana,1456,Zumwalde,10/23/2018,Zumwalde,5.3,
East Woods,N115,10/31/2018,Tilia,americana,1456,Zumwalde,11/28/2018,Zumwalde,5.7,
East Woods,N115,3/27/2019,Tilia,americana,1456,Zumwalde,3/27/2019,Zumwalde,3.35,
East Woods,N115,5/3/2019,Tilia,americana,1456,Zumwalde,5/3/2019,Zumwalde,5.05,
East Woods,N115,5/23/2019,Tilia,americana,1456,Zumwalde,5/23/2019,Zumwalde,4.45,
East Woods,N115,7/17/2017,Tilia,americana,1461,Duckett,7/17/2017,Duckett,0,
East Woods,N115,7/24/2017,Tilia,americana,1461,Duckett,7/31/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,N115,8/10/2017,Tilia,americana,1461,Duckett,8/10/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,N115,8/25/2017,Tilia,americana,1461,Duckett,8/25/2017,Duckett,0,
East Woods,N115,9/6/2017,Tilia,americana,1461,Duckett,9/8/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,N115,9/19/2017,Tilia,americana,1461,Duckett,9/19/2017,Duckett,0,
East Woods,N115,5/3/2018,Tilia,americana,1461,Godlewski,6/22/2018,Godlewski,1.4,
East Woods,N115,5/15/2018,Tilia,americana,1461,Godlewski,6/22/2018,Godlewski,1.6,
East Woods,N115,5/31/2018,Tilia,americana,1461,Godlewski,6/22/2018,Godlewski,1.8,
East Woods,N115,6/14/2018,Tilia,americana,1461,Godlewski,6/22/2018,Godlewski,2.4,
East Woods,N115,7/2/2018,Tilia,americana,1461,Koropp/ Butkiewicz,7/2/2018,Koropp,5.9,
East Woods,N115,7/19/2018,Tilia,americana,1461,Zumwalde,7/20/2018,Zumwalde,7.2,
East Woods,N115,7/27/2018,Tilia,americana,1461,Butkiewicz,7/27/2018,Zumwalde,7.5,
East Woods,N115,8/10/2018,Tilia,americana,1461,Zumwalde,8/10/2018,Zumwalde,7.8,
East Woods,N115,8/31/2018,Tilia,americana,1461,Zumwalde,8/31/2018,Zumwalde,6.4,
East Woods,N115,9/26/2018,Tilia,americana,1461,Oros,9/28/2018,Zumwalde,8.5,
East Woods,N115,10/17/2018,Tilia,americana,1461,Zumwalde,10/23/2018,Zumwalde,9.5,
East Woods,N115,10/31/2018,Tilia,americana,1461,Zumwalde,11/28/2018,Zumwalde,9.2,
East Woods,N115,3/27/2019,Tilia,americana,1461,Zumwalde,3/27/2019,Zumwalde,8.05,
East Woods,N115,5/3/2019,Tilia,americana,1461,Zumwalde,5/3/2019,Zumwalde,8.45,
East Woods,N115,5/23/2019,Tilia,americana,1461,Zumwalde,5/23/2019,Zumwalde,8.45,
East Woods,N115,7/17/2017,Tilia,americana,1462,Duckett,7/17/2017,Duckett,0,
East Woods,N115,7/24/2017,Tilia,americana,1462,Duckett,7/31/2017,Duckett,0,
East Woods,N115,8/10/2017,Tilia,americana,1462,Duckett,8/10/2017,Duckett,0,
East Woods,N115,8/25/2017,Tilia,americana,1462,Duckett,8/25/2017,Duckett,0,
East Woods,N115,9/6/2017,Tilia,americana,1462,Duckett,9/8/2017,Duckett,0,
East Woods,N115,9/19/2017,Tilia,americana,1462,Duckett,9/19/2017,Duckett,0,
East Woods,N115,5/3/2018,Tilia,americana,1462,Godlewski,6/22/2018,Godlewski,0,
East Woods,N115,5/15/2018,Tilia,americana,1462,Godlewski,6/22/2018,Godlewski,0,
East Woods,N115,5/31/2018,Tilia,americana,1462,Godlewski,6/22/2018,Godlewski,0,
East Woods,N115,6/14/2018,Tilia,americana,1462,Godlewski,6/22/2018,Godlewski,0,
East Woods,N115,7/2/2018,Tilia,americana,1462,Koropp/ Butkiewicz,7/2/2018,Koropp,0,
East Woods,N115,7/19/2018,Tilia,americana,1462,Zumwalde,7/20/2018,Zumwalde,0,
East Woods,N115,7/27/2018,Tilia,americana,1462,Butkiewicz,7/27/2018,Zumwalde,0.5,
East Woods,N115,8/10/2018,Tilia,americana,1462,Zumwalde,8/10/2018,Zumwalde,0,
East Woods,N115,8/31/2018,Tilia,americana,1462,Zumwalde,8/31/2018,Zumwalde,0,
East Woods,N115,9/26/2018,Tilia,americana,1462,Oros,9/28/2018,Zumwalde,0,
East Woods,N115,10/17/2018,Tilia,americana,1462,Zumwalde,10/23/2018,Zumwalde,0,
East Woods,N115,10/31/2018,Tilia,americana,1462,Zumwalde,11/28/2018,Zumwalde,0.9,
East Woods,N115,3/27/2019,Tilia,americana,1462,Zumwalde,3/27/2019,Zumwalde,0,
East Woods,N115,5/3/2019,Tilia,americana,1462,Zumwalde,5/3/2019,Zumwalde,0,
East Woods,N115,5/23/2019,Tilia,americana,1462,Zumwalde,5/23/2019,Zumwalde,0,
East Woods,N115,7/17/2017,Tilia,americana,1476,Duckett,7/17/2017,Duckett,0,
East Woods,N115,7/24/2017,Tilia,americana,1476,Duckett,7/31/2017,Duckett,0,
East Woods,N115,8/10/2017,Tilia,americana,1476,Duckett,8/10/2017,Duckett,0,
East Woods,N115,8/25/2017,Tilia,americana,1476,Duckett,8/25/2017,Duckett,0,
East Woods,N115,9/6/2017,Tilia,americana,1476,Duckett,9/8/2017,Duckett,0,
East Woods,N115,9/19/2017,Tilia,americana,1476,Duckett,9/19/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,N115,5/3/2018,Tilia,americana,1476,Godlewski,6/22/2018,Godlewski,0,
East Woods,N115,5/15/2018,Tilia,americana,1476,Godlewski,6/22/2018,Godlewski,0.8,
East Woods,N115,5/31/2018,Tilia,americana,1476,Godlewski,6/22/2018,Godlewski,1.8,
East Woods,N115,6/14/2018,Tilia,americana,1476,Godlewski,6/22/2018,Godlewski,2,
East Woods,N115,7/2/2018,Tilia,americana,1476,Koropp/ Butkiewicz,7/2/2018,Koropp,11.8,
